,value,percentage,energy_type,location,id_location,date
0,199198.1,1.0,No renovable,Ceuta,8744,2020-01-01
0,5602.26,0.03,Renovable,Melilla,8745,2020-01-01
0,202408.0,0.97,No renovable,Melilla,8745,2020-01-01
0,14403033.42,0.51,Renovable,Andalucía,4,2020-01-01
0,13582145.02,0.49,No renovable,Andalucía,4,2020-01-01
0,12333359.5,0.68,Renovable,Aragón,5,2020-01-01
0,5718905.79,0.32,No renovable,Aragón,5,2020-01-01
0,377649.88,0.23,Renovable,Cantabria,6,2020-01-01
0,1248386.13,0.77,No renovable,Cantabria,6,2020-01-01
0,12029884.37,0.52,Renovable,Castilla - La Mancha,7,2020-01-01
0,10915247.18,0.48,No renovable,Castilla - La Mancha,7,2020-01-01
0,22146713.26,0.87,Renovable,Castilla y León,8,2020-01-01
0,3301986.42,0.13,No renovable,Castilla y León,8,2020-01-01
0,8398714.24,0.2,Renovable,Cataluña,9,2020-01-01
0,34559573.2,0.8,No renovable,Cataluña,9,2020-01-01
0,1000041.69,0.16,Renovable,País Vasco,10,2020-01-01
0,5171610.55,0.84,No renovable,País Vasco,10,2020-01-01
0,2917526.06,0.31,Renovable,Principado de Asturias,11,2020-01-01
0,6424868.74,0.69,No renovable,Principado de Asturias,11,2020-01-01
0,466627.77,0.36,Renovable,Comunidad de Madrid,13,2020-01-01
0,823845.43,0.64,No renovable,Comunidad de Madrid,13,2020-01-01
0,3503501.39,0.53,Renovable,Comunidad Foral de Navarra,14,2020-01-01
0,3109765.41,0.47,No renovable,Comunidad Foral de Navarra,14,2020-01-01
0,3281179.0,0.17,Renovable,Comunitat Valenciana,15,2020-01-01
0,15837829.38,0.83,No renovable,Comunitat Valenciana,15,2020-01-01
0,6015278.79,0.28,Renovable,Extremadura,16,2020-01-01
0,15339554.87,0.72,No renovable,Extremadura,16,2020-01-01
0,18556765.0,0.76,Renovable,Galicia,17,2020-01-01
0,5998976.64,0.24,No renovable,Galicia,17,2020-01-01
0,236739.26,0.07,Renovable,Illes Balears,8743,2020-01-01
0,3278447.96,0.93,No renovable,Illes Balears,8743,2020-01-01
0,1391621.16,0.18,Renovable,Canarias,8742,2020-01-01
0,6555047.26,0.82,No renovable,Canarias,8742,2020-01-01
0,2460357.14,0.24,Renovable,Región de Murcia,21,2020-01-01
0,7814341.14,0.76,No renovable,Región de Murcia,21,2020-01-01
0,1080604.14,0.6,Renovable,La Rioja,20,2020-01-01
0,711414.53,0.4,No renovable,La Rioja,20,2020-01-01
0,196885.85,1.0,No renovable,Ceuta,8744,2021-01-01
0,6208.92,0.03,Renovable,Melilla,8745,2021-01-01
0,199169.27,0.97,No renovable,Melilla,8745,2021-01-01
0,16019495.87,0.55,Renovable,Andalucía,4,2021-01-01
0,13319166.31,0.45,No renovable,Andalucía,4,2021-01-01
0,15136165.85,0.78,Renovable,Aragón,5,2021-01-01
0,4342064.39,0.22,No renovable,Aragón,5,2021-01-01
0,411721.49,0.24,Renovable,Cantabria,6,2021-01-01
0,1281531.79,0.76,No renovable,Cantabria,6,2021-01-01
0,13404276.65,0.58,Renovable,Castilla - La Mancha,7,2021-01-01
0,9727166.76,0.42,No renovable,Castilla - La Mancha,7,2021-01-01
0,24075862.83,0.89,Renovable,Castilla y León,8,2021-01-01
0,2950228.43,0.11,No renovable,Castilla y León,8,2021-01-01
0,6777598.08,0.17,Renovable,Cataluña,9,2021-01-01
0,33099380.49,0.83,No renovable,Cataluña,9,2021-01-01
0,1141020.82,0.17,Renovable,País Vasco,10,2021-01-01
0,5679696.74,0.83,No renovable,País Vasco,10,2021-01-01
0,3242081.7,0.29,Renovable,Principado de Asturias,11,2021-01-01
0,8041522.94,0.71,No renovable,Principado de Asturias,11,2021-01-01
0,495545.61,0.37,Renovable,Comunidad de Madrid,13,2021-01-01
0,838558.34,0.63,No renovable,Comunidad de Madrid,13,2021-01-01
0,4273559.77,0.49,Renovable,Comunidad Foral de Navarra,14,2021-01-01
0,4407522.28,0.51,No renovable,Comunidad Foral de Navarra,14,2021-01-01
0,3371188.38,0.19,Renovable,Comunitat Valenciana,15,2021-01-01
0,14555020.86,0.81,No renovable,Comunitat Valenciana,15,2021-01-01
0,9385224.2,0.38,Renovable,Extremadura,16,2021-01-01
0,15302102.56,0.62,No renovable,Extremadura,16,2021-01-01
0,17979661.8,0.74,Renovable,Galicia,17,2021-01-01
0,6232617.03,0.26,No renovable,Galicia,17,2021-01-01
0,313171.72,0.07,Renovable,Illes Balears,8743,2021-01-01
0,4324882.28,0.93,No renovable,Illes Balears,8743,2021-01-01
0,1615319.29,0.2,Renovable,Canarias,8742,2021-01-01
0,6454252.22,0.8,No renovable,Canarias,8742,2021-01-01
0,2612050.26,0.28,Renovable,Región de Murcia,21,2021-01-01
0,6637496.84,0.72,No renovable,Región de Murcia,21,2021-01-01
0,1198991.66,0.55,Renovable,La Rioja,20,2021-01-01
0,962773.75,0.45,No renovable,La Rioja,20,2021-01-01
